DriverNumber,Team,FastestFPLap,MeanFPLaps,StdFPLaps,DeltaBestFPLap,TrackTempAvgFP,AirTempAvgFP,RainAvgFP,GP,FastestLapRace,Year,TrackTempAvgRace,AirTempAvgRace,RainAvgRace,FasterThanTeammateRace,PointFinishRace,FasterThanTeammateFP
43,Alpine,72.851,73.91105263157893,0.5438414507424992,-1.8979999999999961,38.903404255319145,21.92127659574468,0.0,Monaco Grand Prix,73.221,2025,43.317499999999995,22.209375,0.0,1.0,0.0,0.0
44,Ferrari,71.46,72.37921428571427,0.7025446786576681,-0.5069999999999908,38.903404255319145,21.92127659574468,0.0,Monaco Grand Prix,73.221,2025,43.317499999999995,22.209375,0.0,0.0,1.0,0.0
55,Williams,71.893,72.75078571428571,0.5085150901780353,-0.9399999999999977,38.903404255319145,21.92127659574468,0.0,Monaco Grand Prix,73.221,2025,43.317499999999995,22.209375,0.0,0.0,1.0,0.0
63,Mercedes,72.066,72.65829411764705,0.45081817969317434,-1.1129999999999995,38.903404255319145,21.92127659574468,0.0,Monaco Grand Prix,73.221,2025,43.317499999999995,22.209375,0.0,1.0,0.0,0.0
81,McLaren,71.393,72.30536842105262,0.5537418371052208,-0.4399999999999977,38.903404255319145,21.92127659574468,0.0,Monaco Grand Prix,73.221,2025,43.317499999999995,22.209375,0.0,0.0,1.0,0.0
87,Haas F1 Team,72.251,72.87500000000001,0.6428928111798015,-1.2980000000000018,38.903404255319145,21.92127659574468,0.0,Monaco Grand Prix,73.221,2025,43.317499999999995,22.209375,0.0,0.0,0.0,1.0
1,Red Bull Racing,73.07,73.77828571428572,0.3985555040341537,-0.6829999999999927,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,1.0,1.0,1.0
4,McLaren,72.913,73.66114285714286,0.4968421504351068,-0.5259999999999962,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,0.0,1.0,0.0
5,Kick Sauber,73.722,74.6824,0.6933955869487488,-1.3349999999999937,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,0.0,0.0,0.0
6,Racing Bulls,73.382,74.412375,0.6341961324188272,-0.9950000000000045,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,1.0,1.0,1.0
10,Alpine,73.385,74.36942857142857,0.4873047908482657,-0.9980000000000047,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,1.0,1.0,1.0
12,Mercedes,73.298,73.86283333333334,0.4251264191063902,-0.9110000000000014,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,0.0,0.0,0.0
14,Aston Martin,73.301,74.0715,0.5507093153379545,-0.9140000000000015,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,1.0,1.0,1.0
16,Ferrari,73.13,74.033,0.5277724678095462,-0.742999999999995,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,1.0,1.0,1.0
18,Aston Martin,73.839,74.7088,0.6281696904499615,-1.4519999999999982,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,,,0.0
22,Red Bull Racing,73.683,74.539,0.557035905485454,-1.2960000000000065,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,0.0,0.0,0.0
27,Kick Sauber,73.592,74.466,0.542957772627984,-1.2049999999999983,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,1.0,1.0,1.0
30,Racing Bulls,73.494,74.29185714285714,0.4982433222465354,-1.1069999999999993,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,0.0,0.0,0.0
43,Alpine,74.085,75.34181818181818,0.7414101819177021,-1.6979999999999933,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,0.0,0.0,0.0
44,Ferrari,73.527,74.11042857142857,0.4387830108518834,-1.1400000000000006,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,0.0,1.0,0.0
45,Williams,75.522,76.3694,0.6717688888300811,-3.135000000000005,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,,,0.0
50,Haas F1 Team,75.298,75.298,0.0,-2.9110000000000014,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,,,0.0
55,Williams,73.721,74.41022222222222,0.46787409934672214,-1.3340000000000032,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,1.0,0.0,1.0
63,Mercedes,73.046,73.69933333333334,0.6349043672519162,-0.659000000000006,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,1.0,1.0,1.0
81,McLaren,72.387,73.5596,0.8237855546196461,0.0,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,1.0,1.0,1.0
87,Haas F1 Team,74.126,74.75083333333333,0.3876688521004587,-1.7390000000000043,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,0.0,0.0,0.0
23,Williams,73.839,74.657,0.5167943498143166,-1.4519999999999982,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,0.0,0.0,0.0
31,Haas F1 Team,74.005,74.76849999999999,0.6988749888213193,-1.617999999999995,47.15545023696682,30.17345971563981,0.0,Spanish Grand Prix,75.743,2025,48.54322580645161,29.12,0.0,1.0,0.0,1.0
1,Red Bull Racing,72.072,72.91239999999999,0.5405515454915779,-0.27299999999999613,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,1.0,1.0,1.0
10,Alpine,72.684,73.53964285714287,0.5390725643100736,-0.8849999999999909,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,0.0,0.0,1.0
12,Mercedes,72.348,73.35724999999998,0.6741891580508655,-0.5489999999999924,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,0.0,1.0,0.0
14,Aston Martin,72.247,73.06192307692308,0.5228066949042313,-0.4479999999999933,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,1.0,1.0,1.0
16,Ferrari,71.877,72.55420000000001,0.44693552107658857,-0.07799999999998875,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,1.0,1.0,1.0
18,Aston Martin,72.794,73.52219999999998,0.5491722498451679,-0.9949999999999903,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,0.0,0.0,0.0
22,Red Bull Racing,72.939,73.86749999999999,0.5403405561927286,-1.1399999999999864,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,0.0,0.0,0.0
23,Williams,72.445,73.21492307692307,0.5864014720228244,-0.6459999999999866,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,0.0,0.0,1.0
27,Kick Sauber,72.914,73.7567142857143,0.7039289157062271,-1.1149999999999949,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,1.0,1.0,0.0
30,Racing Bulls,72.751,73.62612500000002,0.5294426166970315,-0.9519999999999982,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,0.0,0.0,0.0
31,Haas F1 Team,72.827,73.72540000000001,0.6595674137897753,-1.0279999999999916,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,1.0,1.0,0.0
4,McLaren,71.799,72.76453846153848,0.5698427064192111,0.0,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,0.0,0.0,1.0
43,Alpine,73.06,74.15885714285714,0.6832816672022544,-1.2609999999999957,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,1.0,0.0,0.0
44,Ferrari,72.05,72.95363636363638,0.4820481440926223,-0.25099999999999056,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,0.0,1.0,0.0
5,Kick Sauber,72.896,73.93658333333333,0.648981054979437,-1.0969999999999942,42.026250000000005,18.71625,0.0,Canadian Grand Prix,74.119,2025,49.25329341317366,24.036526946107788,0.005988023952095809,0.0,0.0,1.0
